,URL_ID,URL,positive_score,negative_score,polarity_score,subjectivity_score,average_sentence_length,percentage_of_complex_words,fog_index,avg_word_per_sentence,complex_word_count,word_count,syllable_per_word,num_of_personal_pronouns,average_word_length
10,11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,28,4,0.051445578,0.051445578,10,0.387820513,4.155128205,18.5,121,312,1248,3,5.231259968
11,12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,26,36,0.177596535,0.177596535,8,0.31641286,3.326565144,18.22368421,187,591,2442,32,5.002890173
12,13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,28,21,0.083969857,0.083969857,9,0.417132216,3.766852886,20.44067797,224,537,2142,4,4.863521483
13,14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,18,5,0.077348485,0.077348485,10,0.468503937,4.187401575,20.62962963,119,254,1058,5,5.248201439
14,15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,29,53,0.083852131,0.083852131,6,0.378571429,2.551428571,14.71276596,212,560,2524,7,5.001447178
15,16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,30,14,0.146742752,0.146742752,10,0.423076923,4.169230769,26.2,154,364,1612,6,4.869138495
16,17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,63,34,0.136936439,0.136936439,13,0.419895288,5.367958115,22.62820513,401,955,3515,1,5.660805445
17,18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,37,0.07469251,0.07469251,7,0.35154827,2.940619308,17.32098765,193,549,2404,7,4.857244825
18,19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,63,35,0.112689356,0.112689356,10,0.42875,4.1715,19.83333333,343,800,3266,3,5.400360144
19,20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,62,26,0.141671569,0.141671569,6,0.351485149,2.540594059,17,213,606,2790,17,4.771375465
20,21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,56,25,0.054676061,0.054676061,10,0.386034256,4.154413702,19.90588235,293,759,3023,16,5.101604278
21,22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,44,25,0.120801693,0.120801693,9,0.371428571,3.748571429,20.6557377,195,525,2215,21,4.99522293
22,23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,21,11,0.149108428,0.149108428,7,0.323076923,2.929230769,15.80434783,105,325,1305,7,5.066206897
23,24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,54,38,0.138127884,0.138127884,9,0.379585327,3.751834131,21.60294118,238,627,2660,18,5.097345133
24,25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,33,13,0.193340966,0.193340966,9,0.284280936,3.713712375,19.58333333,85,299,1190,2,4.826704545
25,26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,65,34,0.169341373,0.169341373,11,0.399108138,4.559643255,25.09411765,358,897,3829,11,4.92387218
26,27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,46,56,0.11978622,0.11978622,9,0.353072626,3.74122905,17.63888889,316,895,3502,1,5.189646064
27,28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,32,21,0.118632097,0.118632097,9,0.457407407,3.782962963,20.10526316,247,540,2227,10,5.402268761
28,29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,33,29,0.106079301,0.106079301,7,0.361256545,2.944502618,14.10465116,207,573,2136,6,5.047224524
29,30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,56,24,0.163280289,0.163280289,10,0.363344051,4.145337621,21.10126582,226,622,2859,32,4.813067151
30,31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,64,20,0.062092747,0.062092747,9,0.402898551,3.76115942,18.82142857,278,690,2885,11,5.125554851
31,32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24,0,0.17613082,0.17613082,11,0.443983402,4.577593361,23.76190476,107,241,996,0,5.426853707
32,33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,76,39,0.132630576,0.132630576,85,0.366568915,34.14662757,224.625,250,682,3077,15,4.792431831
33,34,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,23,0,0.184160017,0.184160017,7,0.442583732,2.977033493,16.31578947,185,418,1688,0,5.05489774
34,35,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,5,0.087631674,0.087631674,8,0.50764526,3.403058104,17.38461538,166,327,1316,1,5.362831858
35,36,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,4,0.10648292,0.10648292,11,0.375,4.55,26.18181818,45,120,545,2,5.208333333
36,37,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,32,39,0.135490237,0.135490237,9,0.375545852,3.750218341,19.53846154,172,458,1864,31,5.166502463
37,38,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,24,69,0.044159108,0.044159108,12,0.351477449,4.94059098,24,226,643,2492,2,5.100292826
38,39,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16,14,0.155938228,0.155938228,11,0.368253968,4.547301587,23.09677419,116,315,1269,4,4.950911641
39,40,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,55,42,0.19593526,0.19593526,7,0.392473118,2.956989247,17.41818182,292,744,3331,10,4.85177453
40,41,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,3,0.271886447,0.271886447,7,0.376623377,2.950649351,15.30232558,116,308,1234,4,5.112462006
41,42,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4,1,0.128528912,0.128528912,11,0.259887006,4.503954802,21.52941176,46,177,639,0,5
42,43,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,23,9,0.170936639,0.170936639,11,0.289473684,4.515789474,21.84,143,494,1861,4,4.811009174
43,45,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,17,7,0.136936483,0.136936483,12,0.429118774,4.97164751,23.52173913,112,261,1037,1,5.244444444
44,46,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,14,8,0.227449495,0.227449495,5,0.417266187,2.166906475,13.96296296,58,139,688,0,5.127320955
45,47,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4,0,0.046118012,0.046118012,8,0.4,3.36,15.3,30,75,316,1,5.346405229
46,48,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,19,36,0.050086153,0.050086153,6,0.285714286,2.514285714,14.52727273,90,315,1335,19,4.743429287
47,49,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5,2,0.337857143,0.337857143,8,0.279411765,3.311764706,17.6,19,68,302,1,4.625
48,50,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,52,18,0.097289979,0.097289979,11,0.432337434,4.572934974,18.36065574,246,569,2216,0,5.572327044
49,51,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,6,18,0.050444275,0.050444275,8,0.444954128,3.377981651,18.17241379,97,218,880,9,4.876660342
50,52,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,21,37,0.038341407,0.038341407,9,0.359090909,3.743636364,20.7254902,158,440,1816,7,4.799432356
51,53,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,26,48,0.089915646,0.089915646,11,0.477650064,4.591060026,23.2739726,374,783,3198,15,5.355503237
52,54,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,43,22,0.124241516,0.124241516,10,0.346376812,4.138550725,24.9,239,690,2920,19,4.732912119
53,55,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,32,24,0.065565242,0.065565242,8,0.341021417,3.336408567,17.53658537,207,607,2428,18,4.853064067
54,56,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,23,7,0.18021978,0.18021978,5,0.382758621,2.153103448,12.04225352,111,290,1379,1,4.511111111
55,57,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,39,8,0.220176519,0.220176519,7,0.362683438,2.945073375,21.22727273,173,477,2234,4,4.574589579
56,58,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,26,6,0.253956229,0.253956229,9,0.490066225,3.79602649,27.17647059,74,151,777,8,4.672451193
57,59,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,38,16,0.121556109,0.121556109,10,0.402597403,4.161038961,21.56164384,279,693,2908,7,5.146496815
58,60,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,22,69,0.080490245,0.080490245,5,0.316939891,2.126775956,12.90666667,116,366,1620,13,4.76635514
59,61,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,54,22,0.262682073,0.262682073,6,0.280092593,2.512037037,14.68421053,121,432,1743,5,4.535842294
60,62,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,24,40,0.104283229,0.104283229,10,0.310280374,4.12411215,21.72222222,166,535,1928,2,4.829205807
61,63,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,28,24,0.102918508,0.102918508,8,0.387001477,3.354800591,15.57608696,262,677,2605,9,5.103448276
62,64,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,22,78,0.075990908,0.075990908,5,0.321518987,2.128607595,13.24675325,127,395,1726,15,4.814778325
63,65,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,37,32,0.035211329,0.035211329,10,0.368421053,4.147368421,23.92424242,224,608,2614,5,4.709206349
64,66,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,23,13,0.06537518,0.06537518,14,0.341736695,5.736694678,29.30769231,122,357,1360,1,5.144356955
65,67,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,36,24,0.063648064,0.063648064,15,0.36535163,6.146140652,29.65,213,583,2242,1,5.364249578
66,68,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,31,48,0.076617206,0.076617206,9,0.358310627,3.743324251,20.825,263,734,2920,5,5.025841346
67,69,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,30,12,0.045765315,0.045765315,8,0.223675605,3.289470242,14.14893617,342,1529,5212,0,4.816019271
68,70,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,33,42,0.02402695,0.02402695,9,0.36239782,3.744959128,20.78313253,266,734,3089,10,4.982018561
69,71,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,28,59,0.02075838,0.02075838,13,0.458279846,5.383311938,23.96721311,357,779,2834,0,5.472241261
70,72,https://insights.blackcoffer.com/human-rights-outlook/,3,3,0.258429071,0.258429071,8,0.278688525,3.31147541,20,17,61,265,2,4.7125
71,73,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,28,4,0.158265832,0.158265832,9,0.283950617,3.713580247,20.41304348,115,405,1592,2,4.926517572
72,74,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,36,31,0.109602677,0.109602677,6,0.462686567,2.585074627,15.21848739,310,670,3116,6,4.89618995
73,75,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,48,15,0.159818069,0.159818069,8,0.405594406,3.362237762,17.82105263,290,715,2917,5,4.972205795
74,76,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,29,32,0.09475305,0.09475305,10,0.343347639,4.137339056,22.82608696,160,466,1825,3,5.004761905
75,77,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,16,41,0.028020635,0.028020635,13,0.388821385,5.355528554,23.47222222,320,823,3050,1,5.20726623
76,78,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,13,42,0.080945314,0.080945314,9,0.359447005,3.743778802,17.98113208,156,434,1689,5,5.028481013
77,79,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,32,47,0.115411074,0.115411074,7,0.371134021,2.948453608,16.43835616,180,485,2077,37,4.808333333
78,80,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,20,27,0.077010321,0.077010321,12,0.407488987,4.962995595,27.325,185,454,1938,12,4.965137615
79,81,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,20,41,0.09100754,0.09100754,11,0.347408829,4.538963532,20.94230769,181,521,1936,3,5.11694291
80,82,https://insights.blackcoffer.com/travel-and-tourism-outlook/,3,3,0.27325487,0.27325487,7,0.253731343,2.901492537,18.3,17,67,280,2,4.480874317
81,83,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,24,41,0.068899553,0.068899553,8,0.337579618,3.335031847,18.16666667,159,471,1856,13,4.818014706
82,84,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,5,24,0.052080757,0.052080757,10,0.280528053,4.112211221,18.09090909,85,303,1027,4,5.035413153
83,85,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,25,54,0.057153847,0.057153847,11,0.39708561,4.558834244,21.40384615,218,549,2070,4,5.261026103
84,86,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,21,35,0.064889356,0.064889356,11,0.360613811,4.544245524,28.13157895,141,391,1750,7,4.694756554
85,87,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,5,2,0.119947917,0.119947917,9,0.420118343,3.768047337,17.55,71,169,634,0,5.242857143
86,88,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,12,3,0.090105708,0.090105708,8,0.280487805,3.312195122,16.85714286,69,246,962,4,4.663822526
87,89,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,28,58,0.087414598,0.087414598,15,0.372294372,6.148917749,28.67647059,172,462,1769,3,5.192386831
88,90,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,25,25,0.256335034,0.256335034,8,0.230088496,3.292035398,23.86666667,52,226,1077,42,4.221126761
89,91,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,6,40,0.043628534,0.043628534,10,0.330561331,4.132224532,20.67346939,159,481,1801,0,5.196834817
90,92,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,15,33,0.059160697,0.059160697,9,0.410480349,3.76419214,19.61538462,188,458,1894,0,5.278431373
91,93,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,27,53,0.113329263,0.113329263,10,0.3515625,4.140625,19.01886792,180,512,1869,3,5.32571996
92,94,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,22,36,0.055208096,0.055208096,10,0.351351351,4.140540541,21.84210526,195,555,2175,8,4.965350524
93,95,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,44,48,0.031996653,0.031996653,10,0.322108346,4.128843338,20.90540541,220,683,2624,4,4.854180169
94,96,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,23,45,-0.014978578,-0.014978578,12,0.345394737,4.938157895,19.78494624,315,912,3183,4,5.039495337
95,97,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,23,26,0.068274762,0.068274762,34,0.179941003,13.6719764,39.72727273,61,339,1290,46,4.26419467
96,98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,38,69,0.073958333,0.073958333,12,0.351001178,4.940400471,22.96153846,298,849,3194,11,5.184107443
97,99,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,30,52,0.116557898,0.116557898,6,0.228395062,2.491358025,16,111,486,1989,7,4.481570513
98,100,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,8,14,0.07287296,0.07287296,12,0.458100559,4.983240223,17.47368421,82,179,618,1,5.395136778
99,101,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,45,92,0.029106433,0.029106433,12,0.361545538,4.944618215,22.52631579,393,1087,3827,6,5.217900656
100,102,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,32,64,0.095452304,0.095452304,8,0.297348485,3.318939394,24.859375,157,528,2487,36,4.470773099
101,103,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,30,63,0.071810547,0.071810547,9,0.327077748,3.730831099,17.22222222,244,746,2956,12,4.994687131
102,104,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,38,83,0.106600274,0.106600274,10,0.334610473,4.133844189,23,262,783,3119,11,5.002791736
103,105,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,46,75,0.084352878,0.084352878,13,0.376923077,5.350769231,23.76923077,343,910,3301,9,5.188617886
104,106,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,53,19,0.134633497,0.134633497,13,0.447103275,5.37884131,28.01538462,355,794,3351,2,5.170785283
105,107,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,16,24,0.052994633,0.052994633,12,0.329923274,4.931969309,26.03125,129,391,1468,3,5.045618247
106,108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,40,95,0.028909246,0.028909246,11,0.332909784,4.533163914,19.21428571,262,787,2938,7,5.195625
107,109,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,30,44,0.182126643,0.182126643,6,0.32808399,2.531233596,16.31147541,125,381,1640,5,4.660965795
108,110,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,5,18,0.066430539,0.066430539,10,0.341296928,4.136518771,19.32258065,100,293,1093,1,5.184254606
109,111,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,17,48,0.020007383,0.020007383,13,0.33125972,5.332503888,28.96,213,643,2595,2,5.087016575
110,112,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,85,31,0.135751317,0.135751317,12,0.371134021,4.948453608,23.75,324,873,3177,0,5.276346604
111,113,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,24,21,0.068436989,0.068436989,10,0.384094755,4.153637902,22.35,227,591,2372,7,5.055389222
112,114,https://insights.blackcoffer.com/continued-demand-for-sustainability/,45,31,0.05763664,0.05763664,12,0.524193548,5.009677419,23.58536585,260,496,2024,0,5.771458118
113,115,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,11,10,0.062374268,0.062374268,13,0.432432432,5.372972973,20.35294118,80,185,659,4,5.44606414
114,116,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,5,8,0.176652893,0.176652893,8,0.196581197,3.278632479,20,23,117,509,7,4.496855346
115,117,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0,19,0.015525794,0.015525794,8,0.3625,3.345,18.57142857,58,160,686,5,4.746153846
116,118,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,4,6,-0.001187752,-0.001187752,13,0.355555556,5.342222222,20.36363636,32,90,372,3,4.927927928
117,119,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,5,9,-0.0125,-0.0125,7,0.450980392,2.980392157,16.8,46,102,456,8,4.944223108
118,120,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,25,7,0.132012987,0.132012987,10,0.44,4.176,13.91304348,77,175,602,0,5.394904459
119,121,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,15,54,0.041820509,0.041820509,12,0.317813765,4.927125506,20.49019608,157,494,1769,0,4.968115942
120,122,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,8,49,0.038789245,0.038789245,10,0.316195373,4.126478149,25.33333333,123,389,1638,4,4.782168186
121,123,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,36,70,0.108439143,0.108439143,11,0.397326853,4.558930741,21.90243902,327,823,3210,1,5.079418345
122,124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,5,25,0.138427644,0.138427644,8,0.352517986,3.341007194,16.83333333,98,278,1110,2,5.033112583
123,125,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,25,17,0.083449992,0.083449992,15,0.379248658,6.151699463,20.7962963,212,559,2021,2,5.110307414
124,126,https://insights.blackcoffer.com/blockchain-in-fintech/,15,14,0.101514706,0.101514706,11,0.364116095,4.545646438,25.97222222,138,379,1628,2,5.078074866
125,127,https://insights.blackcoffer.com/blockchain-for-payments/,22,27,0.035488011,0.035488011,9,0.368794326,3.74751773,16.61111111,156,423,1666,9,5.360178971
126,128,https://insights.blackcoffer.com/the-future-of-investing/,36,15,0.077178801,0.077178801,11,0.332889481,4.533155792,18.72619048,250,751,2741,2,5.085475578
127,129,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,26,45,0.042390873,0.042390873,9,0.395348837,3.758139535,15.66666667,221,559,2076,2,5.076648841
128,130,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,34,7,0.212227273,0.212227273,12,0.456582633,4.982633053,23.36666667,163,357,1399,0,5.617142857
129,131,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,31,40,0.127214487,0.127214487,7,0.383333333,2.953333333,15.83076923,184,480,1907,8,5.015549077
130,132,https://insights.blackcoffer.com/obstacles-to-data-driven-healthcare/,39,40,0.075666083,0.075666083,12,0.358078603,4.943231441,25.08333333,246,687,2696,3,4.975366178
131,133,https://insights.blackcoffer.com/monetization-of-data-innovate-to-harvest-the-full-value-of-data/,36,10,0.131856161,0.131856161,9,0.428037383,3.771214953,17.88135593,229,535,2079,0,5.403791469
132,134,https://insights.blackcoffer.com/traceability-of-information-master-your-data-capital/,25,20,0.05381553,0.05381553,11,0.482504604,4.593001842,20.32692308,262,543,2157,13,5.615019011
133,135,https://insights.blackcoffer.com/bank-risk-management-india/,31,25,0.073889484,0.073889484,9,0.378424658,3.751369863,17.11111111,221,584,2095,1,4.932300163
134,136,https://insights.blackcoffer.com/advance-analytics-for-refocusing-profits/,50,21,0.108786811,0.108786811,9,0.473354232,3.789341693,17.5915493,302,638,2435,0,5.524419536
135,137,https://insights.blackcoffer.com/role-of-big-data-analytics-banking-and-finance/,13,18,0.07957655,0.07957655,9,0.390745501,3.756298201,18.6097561,152,389,1391,0,5.041939712
136,138,https://insights.blackcoffer.com/mitigating-bank-risk-management/,44,74,0.121127192,0.121127192,11,0.376106195,4.550442478,21.66666667,255,678,2450,2,5.111764706
137,139,https://insights.blackcoffer.com/future-of-bank-risk-management/,18,58,0.115655363,0.115655363,9,0.395280236,3.758112094,22.27777778,134,339,1414,2,5.007481297
138,140,https://insights.blackcoffer.com/advanced-analytics-redefining-banking/,47,19,0.147849866,0.147849866,11,0.412921348,4.565168539,25.87096774,294,712,2872,18,5.148471616
139,141,https://insights.blackcoffer.com/marketing-analytics-needs/,52,2,0.224199134,0.224199134,8,0.493001555,3.397200622,18.68831169,317,643,2708,6,5.305285118
140,142,https://insights.blackcoffer.com/big-data-analytics-to-bring-transparency-and-good-governance/,26,19,0.115104953,0.115104953,12,0.471604938,4.988641975,24.20588235,191,405,1603,0,5.365735115
141,143,https://insights.blackcoffer.com/how-political-leaders-will-shape-tomorrow-using-big-data-analytics/,32,18,0.134440647,0.134440647,14,0.445283019,5.778113208,31.89473684,236,530,2327,0,5.217821782
142,144,https://insights.blackcoffer.com/big-data-and-analytics-to-help-form-political-leaders-win-election/,27,21,0.147195533,0.147195533,9,0.420704846,3.768281938,18.18867925,191,454,1823,0,5.168224299
143,145,https://insights.blackcoffer.com/the-emergence-of-data-analytics/,12,9,0.139238095,0.139238095,10,0.427046263,4.170818505,17.41935484,120,281,1057,3,5.255121043
144,146,https://insights.blackcoffer.com/how-artificial-intelligence-can-deliver-real-value-to-companies-2/,61,14,0.115323648,0.115323648,9,0.438416422,3.775366569,19.82666667,299,682,2779,5,5.106926698
145,147,https://insights.blackcoffer.com/the-prospective-recipe-of-success-in-the-age-of-analytics/,26,20,0.104024645,0.104024645,9,0.485507246,3.794202899,19.04545455,268,552,2270,7,5.032695375
146,148,https://insights.blackcoffer.com/using-people-analytics-to-drive-business-performance/,15,9,0.139432773,0.139432773,8,0.349809886,3.339923954,21.53125,92,263,1207,4,4.814223512
